Title,Year Released,Media Type,Movie Duration,Audience Rating,Audience Vote Count,Metacritic Score,Plot Description
447. Dostana,2008,MOVIE,2h 25m,6.4,16K,NA,"Two straight guys pretend to be gay in order to secure a Miami apartment. When both of them fall for their roommate Neha, hilarity ensues as they strive to convince one and all that they're gay whilst secretly trying to win her heart."
448. Street Dancer 3D,2020,MOVIE,2h 26m,3.7,8.3K,NA,"Two rival dance groups from India and Pakistan who are always competing against each other, join forces when it comes to competing at an international dance competition."
449. Abhay,2019–,TV SERIES,NA,8.0,13K,NA,"Abhay Pratap Singh, the gutsy cop who can outwit any criminal, is back. Only this time, he is up against some sharper and hardened evil masterminds. Join him as he sets out on the road to justice with a darker and edgier."
450. Suzhal - The Vortex,2022–,TV SERIES,NA,8.2,9.4K,NA,"In a small South Indian town, a seemingly routine minor case explodes into a twisted crime thriller that rips apart its social fabric."
451. Yes Mam,2023–,TV SERIES,NA,8.3,42,NA,NA
452. Pagglait,2021,MOVIE,1h 54m,6.9,10K,NA,"Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives, and a startling discovery about her late husband."
453. Silence: Can You Hear It,2021,MOVIE,2h 16m,6.5,5.6K,NA,"When everyone is hiding the truth, justice will thrive despite the silence. Prepare for a murder mystery that will keep you guessing till the end."
454. The Great Indian Murder,2022–,TV SERIES,NA,6.7,14K,NA,"When notorious industrialist Vicky Rai gets killed at a party, the main suspects are the guests - both invited and uninvited."
455. Amar Akbar Anthony,1977,MOVIE,3h 4m,7.4,8.3K,NA,"Three brothers are separated and united after many years - one is brought up a Hindu, another a Muslim and the last (and most memorable) a Christian. Hilarity and adventure ensues."
456. Antim: The Final Truth,2021,MOVIE,2h 18m,6.2,42K,NA,The cop played by Salman fights the land mafia in the film.
457. Thar,2022,MOVIE,1h 48m,6.1,8K,NA,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.
458. Operation Valentine,2024,MOVIE,2h 13m,5.3,997,NA,"Showcasing the indomitable spirits of the Indian Air Force heroes on the frontlines and the challenges they face during one of the biggest, fiercest aerial attacks that India has ever seen."
459. XXX: Uncensored,2018–2020,TV SERIES,NA,4.7,797,NA,"An erotic anthology series exploring different aspects of love, lust and romance."
460. Bhagam Bhag,2006,MOVIE,2h 37m,6.6,15K,NA,"The members of a drama troupe fall in trouble when they are framed for a murder. Things go worse when they find their actress committing suicide, which is somehow linked with the murder."
461. Eclipse,2021–,TV SERIES,NA,8.3,7.9K,NA,It's 1984 - a tender love story succumbs to the anti-Sikh riots. It's 2016 - IPS officer Amrita Singh uncovers a secret connecting that past to her present.
462. Yaariyan 2,2023,MOVIE,2h 28m,5.1,11K,NA,"After moving to Mumbai, three cousins experience difficulties in their romantic relationships."
463. Parking,2023,MOVIE,2h 7m,7.8,11K,NA,An elderly man and a youngster who are tenants sharing two different floors of an individual house fight over a parking space.
464. Any Body Can Dance 2,2015,MOVIE,2h 34m,5.4,7.2K,NA,"Based on the true story of the Fictitious Dance group; their rise to fame, sudden downfall, and their heroic attempt to seek vindication by regaining their lost pride and glory."
465. Baadshah,1999,MOVIE,2h 55m,6.8,20K,NA,A small time detective is mistaken as a CBI agent and gets embroiled in a deadly mission to save the Chief Minister from an assassination attempt.
466. Chamak,2023–,TV SERIES,NA,7.2,54K,NA,"Kaala - an aspirational rapper from Canada who flees back to Punjab, learns about the mysterious murder of his father and iconic singer Taara Singh. The story unfolds the dark side of music industry's glamour, politics and more."
467. Martin,2024,MOVIE,NA,NA,NA,NA,"A journey of a man discovering himself, finding love and fighting for his motherland. Can he hold the fort on all three gates?"
468. Dear Zindagi,2016,MOVIE,2h 31m,7.4,44K,NA,"Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections."
469. Udaan,2010,MOVIE,2h 14m,8.1,48K,NA,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
470. Climax,2020,MOVIE,52m,2.1,378,NA,"Mia and her boyfriend, ignore warnings and venture into a desert, facing treacherous situations. Their search for safety in a town fails as more perils emerge. Their ordeal focuses on uncovering the mastermind and surviving."
471. A Death in the Gunj,2016,MOVIE,1h 50m,7.4,6.3K,NA,Life for a shy young Indian student slowly falls to pieces during a family road trip.
472. Baghban,2003,MOVIE,3h 1m,7.4,18K,NA,"An elderly couple wish their children to care for them in their old age. But their children see and treat them as a burden, and they must struggle to regain their worth and dignity to themselves and others."
473. Main Atal Hoon,2024,MOVIE,2h 19m,7.0,5.8K,NA,"Follows the extraordinary life and political journey of Shri Atal Bihari Vajpayee, an iconic figure in Indian politics and delves into the multifaceted persona of Vajpayee Ji, capturing his essence as a poet, a gentleman, and a statesman."
474. Razakar: The Silent Genocide of Hyderabad,2024,MOVIE,2h 46m,8.0,4.8K,NA,Revolves around the Hyderabad Liberation Movement of 1948. Capture the struggles of Telangana and its people in the early days of Independence to reclaim their religion and identity in the face of military and political oppression.
475. Super 30,2019,MOVIE,2h 34m,7.9,37K,NA,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
476. Ra.One,2011,MOVIE,2h 36m,4.8,47K,60,"When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family."
477. Shahid,2012,MOVIE,2h 9m,8.2,18K,NA,"The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice."
478. Half CA,2023–,TV SERIES,NA,8.4,3.5K,NA,"Two CA Aspirants from two different ends of the spectrum of the course, Archie and Niraj embark on the journey of one of the toughest courses and face the obstacles it has to offer."
479. CC2C,2009,MOVIE,2h 34m,4.3,9.5K,44,A cook from Chandni Chowk gets mistaken for the reincarnation of an ancient peasant warrior by the residents of an oppressed Chinese village.
480. All Ladies Do It,2020,MOVIE,1h 37m,5.9,474,NA,A Handsome young man gets erotically involved with a Sultry seductive wife of an impotent man only to find himself tangles in a dangerous web of lies and cheat.
481. Iss Pyaar Ko Kya Naam Doon,2011–2018,TV SERIES,NA,7.6,4.3K,NA,"Arnav, a wealthy business tycoon, decides to ruin Khushi's reputation after he thinks she sabotaged one of his events. Meanwhile, Khushi quietly suffers for the crimes she didn't commit."
482. Runway 34,2022,MOVIE,2h 25m,7.0,30K,NA,"Inspired by true incidents, ""Runway 34"" revolves around Captain Vikrant Khanna played by Ajay Devgn, a flying prodigy, whose flight takes a mysterious course after take-off from an international destination."
483. Heropanti,2014,MOVIE,2h 26m,5.2,11K,NA,Two young people find love despite the violent landscape in which they live.
484. Ramayan,1987–1988,TV SERIES,NA,9.0,24K,NA,"An adaptation of the ancient epic in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana."
485. Rang De Basanti,2006,MOVIE,2h 47m,8.1,123K,NA,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
486. Ittefaq,2017,MOVIE,1h 45m,7.2,15K,NA,A detective seeks out the truth between two different stories of a crime scene.
487. Raaz 3,2012,MOVIE,2h 19m,4.2,4.1K,NA,"When an ingénue's sudden popularity threatens to shove her out of the spotlight, a movie star uses black magic in an attempt to derail her career."
488. Tabbar,2021–,TV SERIES,NA,8.2,4.7K,NA,The show charts the journey of a retired police constable who pushes the boundaries to save his family from the consequences of an unfortunate incident.
489. Hamari Adhuri Kahani,2015,MOVIE,2h 9m,6.7,6.9K,NA,"A single mother finds solace with a wealthy, but lonely hotel magnate, together they find love until her past comes back to confront her."
490. Salaam Venky,2022,MOVIE,2h 17m,6.6,2.2K,NA,"Sujata, an ideal mother, who battled the most challenging situations one can ever face with a smile."
491. Kennedy,2023,MOVIE,2h 22m,6.2,236,NA,"An insomniac ex-cop who dwells in different circumstances looking for redemption. The ex-cop, who is presumed dead for a long time, operates secretly for the corrupt system."
492. The Lovers,2015,MOVIE,1h 49m,4.6,3.4K,19,"An epic, sweeping and riveting tale of an impossible love set across two time periods and continents."
493. Mast Mein Rehne Ka,2023,MOVIE,2h 7m,7.1,3.4K,NA,"A man chooses an old widower's home for his first robbery, kicking off a set of events that have them both look at life in a new way and with new companions in the starkness of the city of Mumbai."
494. Kalank,2019,MOVIE,2h 46m,3.6,17K,NA,"The lives of six enigmatic characters become entangled whilst in search of love, but separated by the dichotomy between the two worlds of Husnabad, a town in North India."
495. Vikram Vedha,2022,MOVIE,2h 40m,7.1,25K,NA,A tough police officer sets out to track down and kill an equally tough gangster.
496. Sadak,1991,MOVIE,2h 14m,6.4,2.9K,NA,"A taxi driver with a tragic past sees an opportunity for redemption when he encounters a woman sold into prostitution. Wanting to help her escape, he has to deal with the wrath of the brothel madam."
497. Hurdang,2022,MOVIE,2h 2m,5.3,1.1K,NA,"Back in the 1990s, an aspiring IAS starts a rebellion against the caste-based reservation."
498. Rangeela,1995,MOVIE,2h 22m,7.4,11K,NA,A middle-class young woman who dreams of Bollywood fame is caught in a love triangle between her childhood friend and a famous actor.
499. Maqbool,2003,MOVIE,2h 12m,8.0,12K,NA,The intrigue of the Shakespearean tragedy 'Macbeth' is transposed to the Mumbai underworld.
500. Aashiqana,2022–,TV SERIES,NA,5.2,937,NA,Uptight cop Yashvardhan and feisty Chikki's worlds collide because of a serial killer.
501. Hera Pheri,2000,MOVIE,2h 36m,8.2,73K,NA,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
502. Fukrey 3,2023,MOVIE,2h 27m,5.5,24K,NA,The friends facing disastrously funny situations together and having each other's backs through the trenches to make it out of a new mess this time.
503. Raaz Reboot,2016,MOVIE,2h 8m,4.4,2.2K,NA,"The fourth installment of a horror series that explores secrets, mysteries and human frailties."
504. Bigg Boss,2006–,TV SERIES,NA,3.7,4K,NA,"Isolated from the outside world, the contestants live together in a house under the live cameras that monitor their every move. They perform various tasks and avoid eviction to be declared a winner."
505. Be Happy,2024,MOVIE,NA,NA,NA,NA,The journey of a single father and his talented daughter who aspire to perform on the country's biggest dance reality show.
506. Mami No. 1,2022–,TV SERIES,NA,8.4,41,NA,"A young man begins a sexual relationship with his aunt. As the affair intensifies, turmoil arises within the family."
507. Khuda Haafiz,2020,MOVIE,2h 13m,7.1,22K,NA,A newly married couple's life falls in jeopardy when the wife goes missing under mysterious circumstances.
508. Khuda Haafiz: Chapter 2 - Agni Pariksha,2022,MOVIE,2h 24m,7.4,15K,NA,"Sameer and Nargis, after overcoming all odds, find a ray of sunshine when little Nandini enters their lives and their family is complete; But their happiness is short-lived. In a bizarre twist of fate, Nandini goes missing."
509. Golmaal: Fun Unlimited,2006,MOVIE,2h 30m,7.5,19K,NA,Four runaway crooks take shelter in a bungalow which is owned by a blind couple.
510. Agneepath,1990,MOVIE,2h 54m,7.6,9.5K,NA,"A young boy's quest for revenge leads him to become a gangster as an adult, and with each day he becomes more and more like his enemies. Can he find vengeance and redemption?"
511. Marjaavaan,2019,MOVIE,2h 32m,3.7,4.6K,NA,Raghu and Zoya are enjoying their lives together until a gang leader with harmful intentions turns their world upside down.
512. Kuttey,2023,MOVIE,1h 49m,5.5,11K,NA,A van carrying cash on a rainy night in the outskirts of Mumbai is the crosshairs of three separate gangs all with the same plan. Now that they've crossed paths who will survive?
513. ImMATURE,2019–,TV SERIES,NA,8.6,10K,NA,"ImMATURE follows the lives of three teenage boys - Dhruv, Chacha and Chutney who are in their final year of high school. They deal with the everyday ups and downs of being a teenager, including friendships, first love, heartbreak, etc."
514. Kache Rishtey,2023–,TV SERIES,NA,8.5,38,NA,NA
515. Jay Jagannath,2024–,TV SERIES,NA,9.6,36,NA,"Lord Jagannath, incarnated as a child named Jagan, and his devoted follower Balaram. It explores their adventures and incorporates folktales, blending mythology and friendship narratives."
"516. Monica, O My Darling",2022,MOVIE,2h 9m,7.4,21K,NA,"A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be."
517. Seeking True Love,2017,MOVIE,1h 56m,7.5,26K,NA,"Set in the small-town of Bareilly, Bitti is a free-spirited young girl who lives life on her own terms and refuses to be pressured into getting married. Her life takes a shift when she meets Chirag Dubey and Pritam Vidrohi."
518. Shehar Lakhot,2023–,TV SERIES,NA,6.6,581,NA,"A man who, against his will, goes back to his hometown, where he is forced to face his history and prove his innocence."
519. Vicky Donor,2012,MOVIE,2h 6m,7.7,46K,NA,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
520. Bholaa,2023,MOVIE,2h 24m,5.8,23K,NA,"After getting out of prison with the desire to meet his daughter, Bholaa's plans are interrupted by a well-orchestrated drug bust."
521. Fight Club,2023,MOVIE,2h 15m,5.6,1.9K,NA,"Selva, a college student with football aspirations, grows frustrated over lack of opportunity. His anger draws him into conflicts impacting himself and family."
522. Fan,2016,MOVIE,2h 22m,6.9,50K,NA,Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession that crosses the fine line?
523. Raisinghani vs Raisinghani,2024–,TV SERIES,NA,6.2,269,NA,"Anushka is a sharp but ethical lawyer who works with Virat, her ambitious colleague, in her father's law firm. Their lives change as Ankita joins as an intern, concealing a hidden agenda under the guise of a job opportunity."
524. Jolly LLB 2,2017,MOVIE,2h 17m,7.2,27K,NA,Jolly is a clumsy lawyer who is faced with representing the most critical court case of his career.
525. Jaane Tu... Ya Jaane Na,2008,MOVIE,2h 35m,7.4,28K,NA,Two best friends being convinced that they are not in love search for each other's love.
526. Queen,2013,MOVIE,2h 26m,8.1,69K,NA,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
527. Ascharyachakit!,2018,MOVIE,1h 30m,5.0,1K,NA,"Desire and greed intertwines the lives of a Bollywood star, his chauffeur, a prostitute and her pimp in an unlikely love story."
528. Jaane Bhi Do Yaaro,1983,MOVIE,2h 12m,8.3,15K,NA,"Two photographers, who are employed by a magazine editor to expose the scandalous activities of the rich, come across corruption by a builder and accidentally photograph a murder."
529. Por Thozhil,2023,MOVIE,2h 27m,8.0,10K,NA,A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.
530. Jaadugar,2022,MOVIE,2h 47m,6.8,12K,NA,"Magic Meenu, a small-time magician in Neemuch, M.P., has to win a local football tournament in order to marry the girl he loves."
531. KaroNaa,2023–,TV SERIES,NA,7.2,43,NA,NA
532. Kushi,2023,MOVIE,2h 43m,5.4,8.1K,NA,"Raised in an atheist household, a young man falls in love with the daughter of his father's arch-rival, a devout Hindu leader."
533. Ugly,2013,MOVIE,2h 8m,7.9,24K,NA,The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.
534. Kaun?,1999,MOVIE,1h 30m,7.8,5.2K,NA,"While alone in the house, a woman hears news of serial killer on the loose. And then a stranger rings the doorbell..."
535. Black Friday,2004,MOVIE,2h 23m,8.4,22K,76,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen."
536. Paglet,2022–,TV SERIES,NA,7.4,40,NA,Tinku pretends mental instability as he joins his newly married brother. Tinku's act raises questions.
537. Bhool Bhulaiyaa 2,2022,MOVIE,2h 23m,5.7,33K,NA,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit that has been trapped for 18 years."
538. Broken But Beautiful,2018–,TV SERIES,NA,8.6,17K,NA,"Veer and Sameera, strangers with opposite personalities, are left heartbroken after losing loves they thought would last forever. When fate gives the damaged souls a second chance, a beautiful love story unfolds."
539. October,2018,MOVIE,1h 55m,7.5,18K,NA,A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?
540. NH 10,2015,MOVIE,1h 55m,7.2,14K,NA,"On their way to a weekend retreat, a married couple find their dream vacation turn into a nightmare when they cross paths with a dangerous gang."
541. Aranyak,2021–,TV SERIES,NA,7.8,11K,NA,"Political ploys, personal agendas and a beastly myth all surface as two mismatched hill station cops navigate a web of suspects after a puzzling murder."
542. Bhool Bhulaiyaa,2007,MOVIE,2h 39m,7.4,33K,NA,"An NRI and his wife decide to stay in his ancestral home, paying no heed to the warnings about ghosts. Soon, inexplicable occurrences cause him to call a psychiatrist to help solve the mystery."
"543. LSD: Love, Sex Aur Dhokha",2010,MOVIE,2h 35m,7.1,6.2K,NA,"A video camcorder, a store security camera, and concealed cameras candidly expose lives in three loosely-linked tales."
544. NCR Days,2022–,TV SERIES,NA,9.0,43K,NA,NCR Days depicts the life of a small town guy studying in a city that is completely contrasting to his perspectives in life.
545. Jahangir National University,2024,MOVIE,2h 30m,5.9,1.1K,NA,"Sourabh, a JNU student, opposes anti-national left-wing activities. Guided by Akhilesh Pathak, he finds his partner Richa. Facing challenges from the left, Sourabh and the right-wing gain prominence when he wins a pivotal JNU election."
546. Darbar,2020,MOVIE,2h 39m,5.9,7.5K,NA,A police officer is on a chase to hunt down a dreaded gangster to fulfill his own secret agenda.
547. Faraaz,2022,MOVIE,1h 52m,5.0,1.9K,NA,"Based on the real-life terrorist attack that ravaged a Dhaka cafe, Faraaz is a tense hostage drama that unfolds over one claustrophobic night."
548. Aladin,2009,MOVIE,2h 12m,4.7,3.4K,NA,"Since he was a child, Aladin Chatterjee has been teased for his fairytale name. As a college student he follows his namesake's footsteps; unleashing genie Genius and wooing exchange student Jasmine. But the evil Ringmaster approaches."
549. The Kapil Sharma Show,2016–,TV SERIES,NA,7.3,9.8K,NA,"Comedian Kapil Sharma interacts with celebrity guests about their latest films while keeping the audience laughing with his wit, humour and assorted skits."
550. Vadhandhi: The Fable of Velonie,2022–,TV SERIES,NA,8.0,5.4K,NA,"The murder of a beautiful young girl, seen from the Rashomon-esque perspectives of an unrelenting obsessed cop, a novelist captivated by her grace and an opportunistic news editor."
551. Thank You for Coming,2023,MOVIE,1h 59m,4.1,8.5K,68,"When five best friends assemble together at a family gathering, they must navigate the hilarious and heartwarming consequences of their lie, discovering the true depth of their friendship and love."
552. Notebook,2019,MOVIE,1h 55m,7.0,3.2K,NA,"An ex-army officer, Kabir, becomes a teacher in Kashmir in a school that is in a miserable condition. Things take a turn when Kabir finds a notebook, left behind by the previous year's teacher Firdaus (Pranutan Bahl)."
553. Lesbian,2024–,TV SERIES,NA,7.6,15,NA,Two girls fall in love but are both royalty and forced to marry men by the king and queens order.
554. The Jengaburu Curse,2023–,TV SERIES,NA,7.8,17K,NA,"A London-based analyst returns to Odisha in search of her missing father. Her quest leads to a conspiracy involving bauxite mining, secretly backed by an international nexus, leading to unexplained deaths and a displaced community."
555. Devon Ke Dev... Mahadev,2011–2014,TV SERIES,NA,9.3,5K,NA,"He is supreme being and the destroyer of evil. Witness the story of Lord Shiva, his Avatars and his union with Shakti that shaped the universe."
556. Kahiin To Hoga,2003–2007,TV SERIES,NA,4.7,628,NA,"A story of five sisters who are brought up with middle-class values. The eldest sister Kashish, falls for a rich industrialist named Sujal, unaware that he will be responsible for ruining her life."
557. Husband Material,2018,MOVIE,2h 36m,6.9,9.3K,NA,"A love triangle between a spirited young woman, her outgoing boyfriend and a fiance who's husband material."
558. Crushed,2022–,TV SERIES,NA,8.1,4K,NA,"As they shape their future and evolve as individuals, immerse themselves in an upcoming inter school fest and prepare for their 10th board exams."
559. Kathal: A Jackfruit Mystery,2023,MOVIE,1h 55m,6.7,9K,NA,A local politician whose prized jackfruits go missing and a young police officer who is adamant to solve this bizarre case to prove herself.
560. Pukar,2000,MOVIE,2h 56m,6.7,2.7K,NA,A notorious terrorist manipulates an Indian army major's jilted lover into helping him obtain a classified military code.
561. Hostages,2019–,TV SERIES,NA,6.8,6.8K,NA,"Four masked men break into the Anand family home, taking them hostage. Pushed into a do-or-die situation, Dr. Mira Anand has to make a choice. Will she take a life or save lives?"
562. Rasbhari,2019–,TV SERIES,NA,2.8,16K,NA,"Nand pursues Shanu, a new English teacher, but their relationship changes when he discovers her supposed alter-ego as the spirit Rasbhari. He tries to save her from accusations of being a witch."
563. Fanaa,2006,MOVIE,2h 48m,7.1,35K,NA,A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?
564. Taali,2023–,TV SERIES,NA,7.8,10K,NA,"A web series based on the life of transgender activist, Gauri Sawant, throws light on her daring transformation, the journey towards motherhood, and the battle that led to the inclusion of the 3rd gender in every document in India."
565. Qarib Qarib Single,2017,MOVIE,2h 5m,7.1,9.8K,NA,"Yogi and Jaya, who have polar opposite personalities and sensibilities, meet via a online dating app. This encounter turns into so much more when the two travel to Rishikesh."
566. Ulajh,2024,MOVIE,NA,NA,NA,NA,"The journey of a young IFS officer, belonging to a prominent family of patriots, who gets embroiled in a dangerous personal conspiracy while far from her home turf, at a career-defining post."
567. The Shameless,2024,MOVIE,1h 54m,5.1,100,NA,"After killing a cop in a Delhi brothel, Renuka takes refuge in a northern India community of sex workers. There, she begins a forbidden romance with the 17-year-old Devika. Against all odds, they try to forge their path to freedom."
568. Kabhi Haan Kabhi Naa,1994,MOVIE,2h 38m,7.6,20K,NA,A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves.
569. Mardaani 2,2019,MOVIE,1h 43m,7.3,10K,NA,A 21-year old boy Sunny has a penchant for sexually assaulting and killing girls. He's locked horns with top cop Shivani Shivaji Roy. Will she nab him?
570. Ek Tha Tiger,2012,MOVIE,2h 12m,5.6,39K,NA,India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.
571. Badnaam Gali,2019,MOVIE,1h 35m,7.0,1.3K,NA,"It encompasses the journey of a surrogate mother, played by Patralekhaa, and her dynamic relationship with people around her."
572. Babumoshai Bandookbaaz,2017,MOVIE,2h 2m,6.9,2.5K,NA,"The movie, filled with humor and romance, is a quirky ride into the life and times of a small time contract killer, Babu, played by Nawazuddin Siddiqui. The film spins around his love, his friends, his rivalries and his revenge."
573. Miss Teacher,2016,MOVIE,2h 13m,3.1,420,NA,"Rose Dey is the new teacher at the university. She is very attractive and is a nymphomaniac. At the university, Rose meets Tanvesh and an affair begins."
574. Main Yahan Tu Wahan,2023–,TV SERIES,NA,NA,NA,NA,"Newlyweds Mahima and Survesh ache for one another during pandemic separation. Mahima's discoveries about Survesh drive her to investigate, yet chasing the truth to exact justice risks their safety as sinister facts come to light."
575. Article 15,2019,MOVIE,2h 10m,8.1,37K,NA,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
576. Baazigar,1993,MOVIE,2h 55m,7.6,30K,NA,"A young man with a vendetta against a business tycoon seduces the man's younger daughter, but she begins to suspect her new lover's connection with her elder sister and his ulterior motive."
577. Skater Girl,2021,MOVIE,1h 47m,6.7,5K,NA,"When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete."
578. Charlie Chopra & The Mystery of Solang Valley,2023–,TV SERIES,NA,6.7,1.3K,NA,"When her fiance gets implicated in a murder, Charlie arrives at his family home in pursuit of the truth. But as secrets tumble out that the murderer would rather have hidden, the next person to lose their life might be Charlie herself."
579. India Lockdown,2022,MOVIE,1h 57m,7.2,9.4K,NA,The Indian government announces a country-wide lockdown for 21 days due to the pandemic. India Lockdown encapsulates the story of four out of lakhs of individuals whose lives came to a standstill.
580. Tumse Na Ho Payega,2023,MOVIE,2h 12m,7.6,1.8K,NA,"In a hilarious turn of events, Gaurav and his friends rediscover themselves when they decide to follow their hearts and defy the expectations of society."
581. Love Sonia,2018,MOVIE,2h 2m,7.4,2.4K,NA,"Inspired by real life events, Love Sonia is the story of a young girl's journey to rescue her sister from the dangerous world of international sex trafficking."
582. Thirst,1957,MOVIE,2h 26m,8.3,7.4K,NA,"Vijay, a talented but indigent poet, struggles for love and recognition in this selfish world."
583. Anek,2022,MOVIE,2h 27m,6.4,23K,NA,"A socio political, action thriller set against the geopolitical backdrop of Northeast India."
584. Bharat,2019,MOVIE,2h 30m,4.7,33K,NA,"At the cusp of India's birth as an Independent nation, a family makes an arduous journey to freedom at a cost. A young boy Bharat, makes a promise to his Father that he will keep his family together no matter what."
585. Mission Majnu,2023,MOVIE,2h 9m,7.0,44K,NA,"In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan."
586. Zid,2014,MOVIE,2h 6m,4.5,1.5K,NA,"A journalist, who is still in love with his ex-girlfriend, becomes the obsession of his landlord's daughter."
587. Koi... Mil Gaya,2003,MOVIE,2h 51m,7.1,28K,NA,"A developmentally disabled young man tries to continue the work his father did in communicating with extra-terrestrials from outer space, which leads to something miraculous and wonderful."
588. Blurr,2022,MOVIE,2h 7m,5.8,5.8K,NA,"With progressive blindness setting in, Gayatri has to find answers to her twin sister's unlikely death. As the lines of reality keep getting blurred, is she ready to look the truth in the eye?"
589. Omerta,2017,MOVIE,1h 38m,7.1,3.8K,NA,"A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh, who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002."
590. Pad Man,2018,MOVIE,2h 20m,7.9,29K,NA,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
591. Housefull 4,2019,MOVIE,2h 25m,3.6,14K,NA,"Three couples who get separated from each other due to an evil ploy, reincarnate after 600 years and meet each other as history repeats itself again and their respective partners get mixed up this time."
592. 2 States,2014,MOVIE,2h 29m,6.9,27K,NA,This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.
593. Hichki,2018,MOVIE,1h 56m,7.5,14K,NA,"Suffering from Tourette Syndrome, Naina gets assigned a class of defiant students and must ensure that her students realise their potential."
594. Paper Flowers,1959,MOVIE,2h 28m,7.8,2.8K,NA,"Suresh Sinha, a famous director, discovers star potential in Shanti, a woman he stumbled into one rainy evening, and casts her as the lead in a film. In a twist of fate, Shanti becomes a superstar and Suresh faces a decline in his career."
595. Shivaay,2016,MOVIE,2h 33m,6.1,11K,NA,A skilled mountaineer races against time to rescue his mute daughter from the clutches of human traffickers in Bulgaria.
596. Ruslaan,2024,MOVIE,2h,3.7,907,NA,"The unstoppable force Ruslaan, is coming to break free of the chains of conformity. With his gun and guitar, he's about to create a symphony of rebellion like no other."
597. Black,2005,MOVIE,2h 2m,8.1,36K,NA,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
598. Lakshya,2004,MOVIE,3h 6m,7.8,26K,NA,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero."
599. Neeyat,2023,MOVIE,2h 14m,5.3,4.5K,NA,"When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends."
600. Badlapur,2015,MOVIE,2h 14m,7.4,26K,NA,Raghu begins walking a fine line between good and evil as he exacts violent revenge on two criminals who killed his family 15 years ago.
601. Talvar,2015,MOVIE,2h 12m,8.1,39K,NA,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
602. Saluun,2009,MOVIE,NA,NA,NA,NA,"Asok, a small-town simpleton, gets entangled in a thick web of corrupt government machinery when his road side salon gets picked up by the local municipality. He is desperate to free his salon from the clutches of the corrupt officials. But before he realizes, the Salon is burnt in front of his very eyes on the eve of Holi, the festival of colors. Pushed to the wall, Asok, takes on the municipal officers. His weapon is deceit. He puts up an elaborate scheme to give it back to the officials."
603. Hindi Medium,2017,MOVIE,2h 12m,7.8,32K,NA,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.
